replicate,auc
233,0.7744524480276277
234,0.7626773285694313
235,0.7548619611863197
236,0.7610644753777448
237,0.7552051783197741
238,0.7622176582185582
239,0.7651582548495846
240,0.7645867322056422
241,0.7573780069068891
242,0.7630933335234902
243,0.7526784193059781
244,0.7608152935032242
245,0.7693085978855441
246,0.7597967048461847
247,0.7603117223676497
248,0.7658288606632642
249,0.7539065871126317
250,0.7571648470253688
251,0.768732214754942
252,0.7663729092219909
253,0.760508354072047
254,0.7535372181802017
255,0.7479992073600688
256,0.7557113219093217
257,0.7662752614255075
258,0.7581791492038692
259,0.7631790686730255
260,0.7550594294723965
261,0.7686803848404098
262,0.7513814402508765
263,0.7594518913331932
264,0.7564870214101056
265,0.7663198456000695
266,0.7618171851753825
267,0.7606408578715886
268,0.7597624382077549
269,0.76411708534659
270,0.7595826709063341
271,0.7616088204692968
272,0.7505610962556108
273,0.7596207169757985
274,0.7597066684894724
275,0.7551952006070475
276,0.7719572226936263
277,0.7627643911959089
278,0.7631136580674704
279,0.7686917865344238
280,0.7594823253447982
281,0.7639012580188997
282,0.7646365925864941
283,0.7670033536159286
284,0.7647470460819528
285,0.755331137104453
286,0.7558259218184851
287,0.7592060840133181
288,0.7583260151193412
289,0.7597168203635352
290,0.7519909460089922
291,0.7680485438116459
292,0.7522771443858636
293,0.7698575271440362
294,0.760462165134913
295,0.7580401376252724
296,0.7560418049734275
297,0.7500533540202664
298,0.7612323274903182
299,0.7626331052770676
300,0.745765679381357
301,0.764551157362318
302,0.7638782604253072
303,0.7546232151646568
304,0.7567748063350901
305,0.7627520485764947
306,0.765566476497168
307,0.7574187984236409
308,0.7575869861670217
309,0.7547310593637258
310,0.7674435317170148
311,0.7606939338669269
312,0.7717334832383144
313,0.7648019415540506
314,0.7597314869891054
315,0.7636024574646398
316,0.759377208425155
317,0.7589629756751419
318,0.7600974388393328
319,0.7555562663919311
320,0.7707022630482212
321,0.7611914059501206
322,0.7689111191050148
323,0.7671717818200616
324,0.757664606163053
325,0.7519595125953111
326,0.765644309385053
327,0.758147652350152
328,0.7521136418626682
329,0.7573280014370569
330,0.7552245355809634
331,0.7483128152050392
332,0.7638983847441301
333,0.7479634290871949
334,0.7651909886429415
335,0.7456548394969138
336,0.7655286356477411
337,0.7588883607414365
338,0.7633298811775017
339,0.7536603002437056
340,0.7614510087777453
341,0.7629277722528836
342,0.7492046650667341
343,0.7621931517084142
344,0.7649885017864273
345,0.7551140272521693
346,0.7616967576385327
347,0.7610803404583699
348,0.7465978154038706
349,0.7610184400406173
350,0.7691359913925704
351,0.7556091218075565
352,0.7623549878669564
353,0.7597365859246803
354,0.7597547609884596
355,0.7602076643196828
356,0.7540267493780863
357,0.7633096738090019
358,0.7595709059883837
359,0.7638840516989234
360,0.760867064704772
361,0.7636661542368992
362,0.7598311204546359
363,0.7665947771788404
364,0.7595043814668163
365,0.7623475794454457
366,0.7614044919142162
367,0.7518864388901982
368,0.7593762399738272
369,0.7607245913032339
370,0.7556855256322714
371,0.7542062574713009
372,0.7599061534882359
373,0.7549531682571887
374,0.7534814880961677
375,0.7593922323536892
376,0.7531417055185538
377,0.7623169344678906
378,0.7485114591267321
379,0.7576018094653582
380,0.7586753674836206
381,0.758184394711461
382,0.7553525953389737
383,0.7549744509572566
384,0.7635239626515401
385,0.7543463087926103
386,0.7661429032075788
387,0.7560038657239911
388,0.7486657730686581
389,0.7503512128455713
390,0.758808174510238
391,0.7579528683621479
392,0.7586532451109452
393,0.7669120953720879
394,0.7630089932009746
395,0.7608184951450381
396,0.7597392490562643
397,0.7589122998165204
398,0.7595205632777887
399,0.7645118819842669
400,0.7634605971276213
401,0.7610904503254463
402,0.7567879450363133
403,0.7451481834281422
404,0.7594340292943358
405,0.7689895114773555
406,0.7486917268916788
407,0.7627964651204211
408,0.75828274095913
409,0.7560449700747792
410,0.7592667082312832
411,0.7649507712044552
412,0.7574667415158371
413,0.7590723056472198
414,0.7648423234098591
415,0.7501675754146675
416,0.7539019946450356
417,0.7625899580489068
418,0.7662388952613783
419,0.7687551598775175
420,0.7602675465022666
421,0.7537996531740404
422,0.766072692374224
423,0.7565247572448323
424,0.7586001974480419
425,0.7653431808032467
426,0.7614971573481737
427,0.7628509876440277
428,0.7614826304590834
429,0.7634081161936406
430,0.7540011611931907
431,0.7602757692158293
432,0.7700102015393213
433,0.7631985090054126
434,0.7521067931144859
435,0.7631500983435288
436,0.7612027372999435
437,0.761340731252749
438,0.7596638830543664
439,0.7554851558306318
440,0.7627422284978282
441,0.7558006956505006
442,0.755814680184428
443,0.7516451452506675
444,0.7611149005751937
445,0.7528349804091297
446,0.7547198526280692
447,0.7553515268200571
448,0.7656751291816206
449,0.7599358633656925
450,0.7485676384929345
451,0.7556807814969152
452,0.7664917344556981
453,0.7538639806118843
454,0.7612645030996781
455,0.7594534273217497
456,0.7579253065305845
457,0.7569394005841366
458,0.7573062843981901
459,0.759553116638476
460,0.7621814413462263
461,0.7587345539194611
462,0.755148092675081
463,0.7546486621738014
464,0.7603282482119205
465,0.75227848572919
466,0.7611078923763686
467,0.7642818368399136
468,0.7614977147854003
469,0.7620788431676063
470,0.7703424531204323
471,0.7607259144744363
