stratum,omitted_psu,m,n,events,prevalence,auc,pr_auc,brier,calibration_intercept,calibration_slope,group
176.0,1.0,2,5553,573,0.09172632083493146,0.7127913029754545,0.19838235463968848,0.07940106170365847,-0.3338403376608271,0.8962805141513814,pooled
183.0,1.0,2,5580,584,0.09407352367688514,0.7034579833761136,0.20087544740586452,0.08136758470744994,-0.38823776923907916,0.8542688660253597,pooled
183.0,2.0,2,5564,583,0.09445314366875282,0.7123464820480782,0.20988230218432755,0.08102500900635497,-0.3010612874101523,0.8977485289524062,pooled
177.0,1.0,2,5443,589,0.09503829057714905,0.7094788658427096,0.20246888822640308,0.08187054259989819,-0.3185720278115764,0.8814325546657652,pooled
177.0,2.0,2,5571,599,0.09349592616850075,0.7063581457228663,0.20843654044360338,0.08052814424168914,-0.3695239700968047,0.8710050355693733,pooled
180.0,2.0,2,5545,596,0.09302035299160782,0.7099827088579485,0.20316820073123038,0.0803787678258525,-0.37684241306036104,0.8701461442580434,pooled
180.0,1.0,2,5517,597,0.09545244652507189,0.7060122233027379,0.2077008369677372,0.08197798504661984,-0.3126247665844088,0.8821621196440287,pooled
175.0,1.0,2,5503,598,0.09507768197461218,0.7116436453208731,0.21417929732842675,0.08138239380672505,-0.2910639130670761,0.898073501876808,pooled
175.0,2.0,2,5520,589,0.09345328437931112,0.7041143604936908,0.1968298027152287,0.08101087845955725,-0.3987187578209168,0.8536605115920254,pooled
173.0,2.0,2,2477,208,0.05498820037607144,0.770870081913267,0.22777925524647438,0.04800211690581214,-0.565023143021169,0.7908877653025893,male
173.0,1.0,2,2489,218,0.060750990464449275,0.7657541431305382,0.23978673541591308,0.052210293230921696,-0.46751940725911456,0.7789791799846878,male
179.0,1.0,2,2464,209,0.05850324385671604,0.7686405239848099,0.2339787416836447,0.05068729884552159,-0.5105471428285723,0.783674238451362,male
179.0,2.0,2,2517,214,0.057345735078441415,0.7674121183198679,0.23366731684167436,0.04960790363662634,-0.5205485694112553,0.784692262081817,male
174.0,2.0,2,2472,212,0.05834020019579105,0.765889627975197,0.23395251376911658,0.05049121016094521,-0.5248262244625268,0.7807645411703187,male
174.0,1.0,2,2516,213,0.0575023198608081,0.7701708266040249,0.23362906319632912,0.049797291080490844,-0.5062791075330294,0.7876041784326664,male
178.0,2.0,2,2484,212,0.055895137765034984,0.7640089548688964,0.22526289136004007,0.04883861939000988,-0.5796662877459102,0.7715727440748634,male
178.0,1.0,2,2479,217,0.059982668058727595,0.7717835475396667,0.2424032010554085,0.05147141288653265,-0.4534482995472336,0.7963057068328189,male
181.0,1.0,2,2488,205,0.05769029265289371,0.762860557336556,0.21673216111357374,0.05037547697936819,-0.5556767246909456,0.7759455495143075,male
181.0,2.0,2,2500,207,0.058142694619520305,0.7730203840819124,0.25155614783215946,0.04991075505602694,-0.47633815631951143,0.7919025542461574,male
182.0,2.0,2,2491,212,0.05783162020456044,0.7771175892039324,0.23488969624593042,0.05002108902351544,-0.48032340723495787,0.8053295077515141,male
182.0,1.0,2,2518,212,0.0580008310988653,0.7594423215230779,0.23281207064239662,0.05025705283458383,-0.5484324353063451,0.764703803658269,male
176.0,2.0,2,2511,212,0.06181523244562642,0.7541024139384128,0.23588724867936353,0.05342328535589593,-0.5278863724644722,0.7513024178499434,male
176.0,1.0,2,2501,203,0.05420227121552187,0.7823328136781482,0.23311392360643074,0.047012654237796464,-0.500791304496024,0.8195548655962104,male
184.0,1.0,2,2478,213,0.060002978382953764,0.7731207592537809,0.24999280941551863,0.05123255303932997,-0.43662156893630794,0.799040524039788,male
184.0,2.0,2,2506,208,0.05593090822927231,0.7629832661437576,0.21779753890841724,0.04910177507046318,-0.5941301941434577,0.7690243589537641,male
177.0,1.0,2,2455,207,0.057452070359399386,0.7696117264056418,0.22636510697843143,0.049997065614313815,-0.5011554607412081,0.7877606759656549,male
177.0,2.0,2,2516,214,0.05838060772474148,0.7664963512795546,0.24083347017159545,0.0502850156608767,-0.5288477910580184,0.7809760822570713,male
183.0,1.0,2,2515,208,0.05741177952619368,0.7618570089767266,0.22548557398153352,0.05017473212078393,-0.5662361581093353,0.7640211876092536,male
