replicate,auc
153,0.8478263581155976
154,0.8542759693350771
155,0.8360598662588068
156,0.8466622404635442
157,0.8262650399105664
158,0.8500698415228329
159,0.8420628686491556
160,0.8418203237425553
161,0.8419751528569626
162,0.8581998102170767
163,0.8515776947716954
164,0.8321112210570166
165,0.8426930044486671
166,0.8478247561398159
167,0.8449183315841389
168,0.8525743454715349
169,0.8273964732572152
170,0.8364466810000103
171,0.8578101253345221
172,0.8508011410758796
173,0.8374450932300035
174,0.8440655953266294
175,0.8480096717049392
176,0.843281946144257
177,0.8389475619591734
178,0.8517701390470543
179,0.8436403000077322
180,0.8363765731543609
181,0.8466616531790947
182,0.8493938586192575
183,0.8603263157894738
184,0.848540624973106
185,0.8333873706569976
186,0.8388269984388093
187,0.8259740037760697
188,0.856623557810947
189,0.8360294244319258
190,0.8371642836033741
191,0.8562736265028139
192,0.8316285551480486
193,0.8520063423321227
194,0.8295836891442687
195,0.8488937720368297
196,0.8424858343783381
197,0.8455181492406328
198,0.8409414471758003
199,0.8433914622759673
200,0.8433042568392677
201,0.8373314369995786
202,0.8329244116151109
203,0.8473743762089676
204,0.8367243384192538
205,0.8506550095494833
206,0.8277717464977703
207,0.8474788759169065
208,0.843780252808517
209,0.8329002403346122
210,0.830226995607654
211,0.8417068837049351
212,0.8378565193746372
213,0.8233878709016831
214,0.8573455842959917
215,0.8408165998018007
216,0.8527904984905933
217,0.8364127353963854
218,0.8575103024664434
219,0.8288858598448744
220,0.8464641948498494
221,0.8554854611406199
222,0.8593505153085825
223,0.8350808659778759
224,0.8419257007089067
225,0.859995150268789
226,0.8379712383104985
227,0.8459110198494183
228,0.8389845004151675
229,0.8437847858191382
230,0.8293066754687917
231,0.8270228460582059
232,0.8538548415398811
233,0.8333785831945886
234,0.8465574642630252
235,0.8582258132874797
236,0.8594899815687406
237,0.8440895103071229
238,0.8290849481002776
239,0.841259867013616
240,0.8466786092808742
241,0.816699382645297
242,0.813630667578036
243,0.8325743853471317
244,0.8405244303500117
245,0.8436297602249312
246,0.8296046656555409
247,0.8397856401564651
248,0.8289893108126913
249,0.8361906407345248
250,0.852223006702333
251,0.8495030975244874
252,0.857869051349126
253,0.8613048374972245
254,0.8433408297017939
255,0.8417248063244833
256,0.8521805017820252
257,0.8411982715711137
258,0.8312257890921382
259,0.8626075589426374
260,0.8423366727517805
261,0.8411917722768655
262,0.8258390022675737
263,0.8532471014127689
264,0.8424328193632035
265,0.8282730914109152
266,0.8406964097835468
267,0.8498266378791632
268,0.8383123030005322
269,0.840053395430241
270,0.8435921187241886
271,0.857149406564601
272,0.8498145985477091
273,0.8341556141433837
274,0.8511222642219722
275,0.8311991557364693
276,0.8548553115441455
277,0.8238633460700173
278,0.8397451585272392
279,0.855643624707417
280,0.8387492784461228
281,0.8498401803105867
282,0.8450599817545112
283,0.8509531715570792
284,0.849379149086729
285,0.8448612312505506
286,0.8335496115236977
287,0.8552156399749983
288,0.8455580193411856
289,0.8420127835350714
290,0.8379966989476062
291,0.8360377096255543
292,0.8233122943194662
293,0.8310861587742655
294,0.8345074421463311
295,0.8410615005107781
296,0.8369992160494579
297,0.8546818930027449
298,0.8553814860938148
299,0.8403637834382653
300,0.8326002453019631
301,0.8414275415758639
302,0.8481103254153508
303,0.8220284302909625
304,0.8581209833285023
305,0.850702295426058
306,0.8518631773779515
307,0.8333440031374991
308,0.8421678092015048
309,0.8528239625019347
310,0.8251097012469375
311,0.847097606632926
312,0.844103678046203
313,0.8513987500109237
314,0.8361401098901098
315,0.8306011308821425
316,0.8397583230015252
317,0.852944331900768
318,0.848270011276161
319,0.8288661483327356
320,0.8329322248837536
321,0.8540502784833444
322,0.8423395590506952
323,0.844061779307681
324,0.8440722432486699
325,0.8683513825832788
326,0.8429156533563453
